Code géographique de la commune,Libellé géographique de la commune,Code géographique de l'aire d'attraction des villes 2020,Libellé géographique de l'aire d'attraction des villes 2020,Catégorie de la commune dans le zonage en aires d'attraction des villes 2020,Code département,Code région
27042,Barville,162,Lisieux,20,27,28
27043,Les Baux-de-Breteuil,0,Commune hors attraction des villes,30,27,28
27044,Les Baux-Sainte-Croix,83,Évreux,20,27,28
27045,Bazincourt-sur-Epte,1,Paris,20,27,28
27046,Bazoques,230,Bernay,20,27,28
27047,Beaubray,83,Évreux,20,27,28
27048,Beauficel-en-Lyons,0,Commune hors attraction des villes,30,27,28
27049,Mesnil-en-Ouche,230,Bernay,20,27,28
27050,Beaumontel,0,Commune hors attraction des villes,30,27,28
27051,Beaumont-le-Roger,0,Commune hors attraction des villes,30,27,28
27052,Le Bec-Hellouin,0,Commune hors attraction des villes,30,27,28
27053,Le Bec-Thomas,0,Commune hors attraction des villes,30,27,28
27054,Bémécourt,346,Verneuil d'Avre et d'Iton,20,27,28
27055,Bérengeville-la-Campagne,83,Évreux,20,27,28
27056,Bernay,230,Bernay,11,27,28
27057,Bernienville,83,Évreux,20,27,28
27059,Bernouville,1,Paris,20,27,28
27061,Berthouville,230,Bernay,20,27,28
27062,Les Monts du Roumois,15,Rouen,20,27,28
27063,Berville-la-Campagne,83,Évreux,20,27,28
27064,Berville-sur-Mer,39,Le Havre,20,27,28
27065,Beuzeville,577,Beuzeville,11,27,28
27066,Bézu-la-Forêt,1,Paris,20,27,28
27067,Bézu-Saint-Éloi,1,Paris,20,27,28
27068,Bois-Anzeray,0,Commune hors attraction des villes,30,27,28
27069,Bois-Arnault,0,Commune hors attraction des villes,30,27,28
27070,Frenelles-en-Vexin,1,Paris,20,27,28
27071,Le Bois-Hellain,0,Commune hors attraction des villes,30,27,28
27072,Bois-Jérôme-Saint-Ouen,1,Paris,20,27,28
27073,Bois-le-Roi,1,Paris,20,27,28
27074,Boisney,230,Bernay,20,27,28
27075,Bois-Normand-près-Lyre,0,Commune hors attraction des villes,30,27,28
27076,Boisset-les-Prévanches,1,Paris,20,27,28
27077,Boissey-le-Châtel,15,Rouen,20,27,28
27078,La Boissière,1,Paris,20,27,28
27079,Boissy-Lamberville,230,Bernay,20,27,28
27081,Boncourt,1,Paris,20,27,28
27082,La Bonneville-sur-Iton,83,Évreux,20,27,28
27083,Bonneville-Aptot,15,Rouen,20,27,28
27085,Flancourt-Crescy-en-Roumois,15,Rouen,20,27,28
27089,Thénouville,15,Rouen,20,27,28
27090,Bosroumois,15,Rouen,20,27,28
27091,Bosgouet,15,Rouen,20,27,28
27094,Bosquentin,1,Paris,20,27,28
27095,Bosrobert,0,Commune hors attraction des villes,30,27,28
27096,Les Bottereaux,0,Commune hors attraction des villes,30,27,28
27097,Bouafles,0,Commune hors attraction des villes,30,27,28
27098,Bouchevilliers,1,Paris,20,27,28
27099,Le Boulay-Morin,83,Évreux,20,27,28
27100,Boulleville,39,Le Havre,20,27,28
27101,Bouquelon,237,Pont-Audemer,20,27,28
27102,Bouquetot,15,Rouen,20,27,28
27103,Bourg-Achard,15,Rouen,20,27,28
27104,Bourg-Beaudouin,15,Rouen,20,27,28
27105,Grand Bourgtheroulde,15,Rouen,20,27,28
27106,Bournainville-Faverolles,230,Bernay,20,27,28
27107,Bourneville-Sainte-Croix,237,Pont-Audemer,20,27,28
27108,Bourth,346,Verneuil d'Avre et d'Iton,20,27,28
27109,Bray,83,Évreux,20,27,28
27110,Brestot,15,Rouen,20,27,28
27111,Bretagnolles,1,Paris,20,27,28
27112,Breteuil,0,Commune hors attraction des villes,30,27,28
27113,Brétigny,0,Commune hors attraction des villes,30,27,28
27114,Breuilpont,1,Paris,20,27,28
27115,Breux-sur-Avre,0,Commune hors attraction des villes,30,27,28
27116,Brionne,653,Brionne,11,27,28
27117,Broglie,230,Bernay,20,27,28
27118,Brosville,83,Évreux,20,27,28
27119,Bueil,1,Paris,20,27,28
27120,Burey,83,Évreux,20,27,28
27123,Caillouet-Orgeville,83,Évreux,20,27,28
27124,Cailly-sur-Eure,83,Évreux,20,27,28
27125,Calleville,0,Commune hors attraction des villes,30,27,28
27126,Campigny,237,Pont-Audemer,20,27,28
27127,Canappeville,144,Louviers,20,27,28
27129,Caorches-Saint-Nicolas,230,Bernay,20,27,28
27130,Capelle-les-Grands,230,Bernay,20,27,28
27132,Caugé,83,Évreux,20,27,28
27133,Caumont,15,Rouen,20,27,28
27134,Cauverville-en-Roumois,15,Rouen,20,27,28
27135,Cesseville,144,Louviers,20,27,28
27136,Chaignes,1,Paris,20,27,28
27137,Chaise-Dieu-du-Theil,0,Commune hors attraction des villes,30,27,28
27138,Chamblac,230,Bernay,20,27,28
27139,Chambord,0,Commune hors attraction des villes,30,27,28
27140,Chambray,0,Commune hors attraction des villes,30,27,28
27141,Champ-Dolent,83,Évreux,20,27,28
27142,Champenard,0,Commune hors attraction des villes,30,27,28
27144,Champigny-la-Futelaye,83,Évreux,20,27,28
27146,La Chapelle-Bayvel,0,Commune hors attraction des villes,30,27,28
27147,La Chapelle-du-Bois-des-Faulx,83,Évreux,20,27,28
27148,La Chapelle-Gauthier,0,Commune hors attraction des villes,30,27,28
27149,La Chapelle-Hareng,0,Commune hors attraction des villes,30,27,28
27151,Charleval,0,Commune hors attraction des villes,30,27,28
27152,Château-sur-Epte,1,Paris,20,27,28
27153,Chauvincourt-Provemont,1,Paris,20,27,28
27154,Chavigny-Bailleul,83,Évreux,20,27,28
27155,Chennebrun,346,Verneuil d'Avre et d'Iton,20,27,28
27156,Chéronvilliers,0,Commune hors attraction des villes,30,27,28
27157,Marbois,83,Évreux,20,27,28
27158,Cierrey,83,Évreux,20,27,28
27161,Claville,83,Évreux,20,27,28
27162,Collandres-Quincarnon,83,Évreux,20,27,28
27163,Colletot,237,Pont-Audemer,20,27,28
27164,Combon,83,Évreux,20,27,28
27165,Conches-en-Ouche,83,Évreux,20,27,28
27167,Condé-sur-Risle,237,Pont-Audemer,20,27,28
27168,Connelles,144,Louviers,20,27,28
27169,Conteville,39,Le Havre,20,27,28
27170,Cormeilles,0,Commune hors attraction des villes,30,27,28
27171,Le Cormier,83,Évreux,20,27,28
27173,Corneville-la-Fouquetière,0,Commune hors attraction des villes,30,27,28
27174,Corneville-sur-Risle,237,Pont-Audemer,20,27,28
27176,Coudray,1,Paris,20,27,28
27177,Coudres,0,Commune hors attraction des villes,30,27,28
27179,Courbépine,230,Bernay,20,27,28
27180,Courcelles-sur-Seine,1,Paris,20,27,28
27181,Courdemanche,1,Paris,20,27,28
27182,Courteilles,346,Verneuil d'Avre et d'Iton,20,27,28
27183,La Couture-Boussey,1,Paris,20,27,28
27184,Crasville,144,Louviers,20,27,28
27185,Crestot,144,Louviers,20,27,28
27187,Criquebeuf-la-Campagne,144,Louviers,20,27,28
27188,Criquebeuf-sur-Seine,15,Rouen,20,27,28
27189,La Croisille,83,Évreux,20,27,28
27190,Croisy-sur-Eure,1,Paris,20,27,28
27191,Clef Vallée d'Eure,83,Évreux,20,27,28
27192,Crosville-la-Vieille,489,Le Neubourg,20,27,28
27193,Croth,1,Paris,20,27,28
27194,Cuverville,480,Les Andelys,20,27,28
27196,Les Damps,15,Rouen,20,27,28
27198,Mesnils-sur-Iton,83,Évreux,20,27,28
27199,Dangu,1,Paris,20,27,28
27200,Dardez,83,Évreux,20,27,28
27201,Daubeuf-la-Campagne,144,Louviers,20,27,28
27202,Daubeuf-près-Vatteville,144,Louviers,20,27,28
27203,Douains,1,Paris,20,27,28
27204,Doudeauville-en-Vexin,1,Paris,20,27,28
27205,Douville-sur-Andelle,15,Rouen,20,27,28
27206,Droisy,0,Commune hors attraction des villes,30,27,28
27207,Drucourt,230,Bernay,20,27,28
27208,Duranville,230,Bernay,20,27,28
27209,Écaquelon,15,Rouen,20,27,28
27210,Écardenville-la-Campagne,489,Le Neubourg,20,27,28
27212,Écauville,83,Évreux,20,27,28
27213,Vexin-sur-Epte,1,Paris,20,27,28
27214,Écouis,1,Paris,20,27,28
27215,Ecquetot,144,Louviers,20,27,28
27216,Émalleville,83,Évreux,20,27,28
27217,Émanville,83,Évreux,20,27,28
27218,Épaignes,237,Pont-Audemer,20,27,28
27219,Épégard,489,Le Neubourg,20,27,28
27220,Épieds,1,Paris,20,27,28
27222,Épreville-en-Lieuvin,0,Commune hors attraction des villes,30,27,28
27224,Épreville-près-le-Neubourg,489,Le Neubourg,20,27,28
27226,Étrépagny,1,Paris,20,27,28
27227,Étréville,237,Pont-Audemer,20,27,28
27228,Éturqueraye,15,Rouen,20,27,28
27229,Évreux,83,Évreux,11,27,28
27230,Ézy-sur-Eure,1,Paris,20,27,28
27231,Fains,1,Paris,20,27,28
27232,Farceaux,1,Paris,20,27,28
27233,Fatouville-Grestain,39,Le Havre,20,27,28
27234,Fauville,83,Évreux,20,27,28
27235,Faverolles-la-Campagne,83,Évreux,20,27,28
27237,Le Favril,0,Commune hors attraction des villes,30,27,28
27238,Ferrières-Haut-Clocher,83,Évreux,20,27,28
27239,Ferrières-Saint-Hilaire,230,Bernay,20,27,28
27240,La Ferrière-sur-Risle,0,Commune hors attraction des villes,30,27,28
27241,Feuguerolles,83,Évreux,20,27,28
27242,Le Fidelaire,83,Évreux,20,27,28
27243,Fiquefleur-Équainville,352,Honfleur,20,27,28
27245,Fleury-la-Forêt,0,Commune hors attraction des villes,30,27,28
27246,Fleury-sur-Andelle,15,Rouen,20,27,28
27247,Flipou,15,Rouen,20,27,28
27248,Folleville,230,Bernay,20,27,28
27249,Fontaine-Bellenger,144,Louviers,20,27,28
27251,Fontaine-l'Abbé,230,Bernay,20,27,28
27252,Fontaine-la-Louvet,162,Lisieux,20,27,28
27254,Fontaine-sous-Jouy,83,Évreux,20,27,28
27256,La Forêt-du-Parc,83,Évreux,20,27,28
27258,Fort-Moville,577,Beuzeville,20,27,28
27259,Foucrainville,1,Paris,20,27,28
27260,Foulbec,237,Pont-Audemer,20,27,28
27261,Fouqueville,0,Commune hors attraction des villes,30,27,28
27263,Le Perrey,237,Pont-Audemer,20,27,28
27266,Franqueville,0,Commune hors attraction des villes,30,27,28
27267,Freneuse-sur-Risle,0,Commune hors attraction des villes,30,27,28
27269,Fresne-Cauverville,0,Commune hors attraction des villes,30,27,28
27271,Fresney,1,Paris,20,27,28
27273,Gadencourt,1,Paris,20,27,28
27275,Gaillon,560,Gaillon,11,27,28
27276,Gamaches-en-Vexin,1,Paris,20,27,28
27277,La Baronnie,83,Évreux,20,27,28
27278,Garennes-sur-Eure,1,Paris,20,27,28
27279,Gasny,1,Paris,20,27,28
27280,Gauciel,83,Évreux,20,27,28
27281,Gaudreville-la-Rivière,83,Évreux,20,27,28
27282,Gauville-la-Campagne,83,Évreux,20,27,28
27284,Gisors,1,Paris,20,27,28
27285,Giverny,1,Paris,20,27,28
27286,Giverville,0,Commune hors attraction des villes,30,27,28
27287,Glisolles,83,Évreux,20,27,28
27288,Glos-sur-Risle,0,Commune hors attraction des villes,30,27,28
27289,La Goulafrière,0,Commune hors attraction des villes,30,27,28
27290,Goupil-Othon,0,Commune hors attraction des villes,30,27,28
27291,Gournay-le-Guérin,346,Verneuil d'Avre et d'Iton,20,27,28
27294,Val d'Orger,0,Commune hors attraction des villes,30,27,28
27295,Grand-Camp,230,Bernay,20,27,28
27298,Graveron-Sémerville,83,Évreux,20,27,28
27299,Gravigny,83,Évreux,12,27,28
27300,Grosley-sur-Risle,83,Évreux,20,27,28
27301,Grossœuvre,83,Évreux,20,27,28
27302,Le Bosc du Theil,15,Rouen,20,27,28
27304,Guerny,1,Paris,20,27,28
27306,Guichainville,83,Évreux,20,27,28
27307,Guiseniers,0,Commune hors attraction des villes,30,27,28
27309,L'Habit,1,Paris,20,27,28
27310,Hacqueville,1,Paris,20,27,28
27311,Harcourt,0,Commune hors attraction des villes,30,27,28
27312,Hardencourt-Cocherel,1,Paris,20,27,28
27313,La Harengère,15,Rouen,20,27,28
27315,Harquency,480,Les Andelys,20,27,28
27316,Hauville,15,Rouen,20,27,28
27317,La Haye-Aubrée,15,Rouen,20,27,28
27318,La Haye-de-Calleville,0,Commune hors attraction des villes,30,27,28
27319,La Haye-de-Routot,15,Rouen,20,27,28
27320,La Haye-du-Theil,15,Rouen,20,27,28
27321,La Haye-le-Comte,144,Louviers,20,27,28
27322,La Haye-Malherbe,144,Louviers,20,27,28
27323,La Haye-Saint-Sylvestre,0,Commune hors attraction des villes,30,27,28
27324,Hébécourt,1,Paris,20,27,28
27325,Hecmanville,0,Commune hors attraction des villes,30,27,28
27326,Hécourt,1,Paris,20,27,28
27327,Hectomare,0,Commune hors attraction des villes,30,27,28
27329,Hennezis,1,Paris,20,27,28
27330,Herqueville,144,Louviers,20,27,28
27331,Heubécourt-Haricourt,1,Paris,20,27,28
27332,Heudebouville,144,Louviers,20,27,28
27333,Heudicourt,1,Paris,20,27,28
27334,Heudreville-en-Lieuvin,0,Commune hors attraction des villes,30,27,28
27335,Heudreville-sur-Eure,144,Louviers,20,27,28
27336,La Heunière,1,Paris,20,27,28
27337,Heuqueville,480,Les Andelys,20,27,28
27338,Les Hogues,15,Rouen,20,27,28
27339,Hondouville,144,Louviers,20,27,28
27340,Honguemare-Guenouville,15,Rouen,20,27,28
27341,L'Hosmes,0,Commune hors attraction des villes,30,27,28
27342,Houetteville,83,Évreux,20,27,28
27343,Houlbec-Cocherel,1,Paris,20,27,28
27345,La Houssaye,83,Évreux,20,27,28
27346,Houville-en-Vexin,0,Commune hors attraction des villes,30,27,28
27347,Huest,83,Évreux,20,27,28
27348,Igoville,15,Rouen,20,27,28
27349,Illeville-sur-Montfort,15,Rouen,20,27,28
27350,Illiers-l'Évêque,0,Commune hors attraction des villes,30,27,28
27351,Incarville,144,Louviers,20,27,28
27353,Irreville,83,Évreux,20,27,28
27354,Iville,489,Le Neubourg,20,27,28
27355,Ivry-la-Bataille,1,Paris,20,27,28
27358,Jouy-sur-Eure,83,Évreux,20,27,28
27359,Juignettes,0,Commune hors attraction des villes,30,27,28
27360,Jumelles,83,Évreux,20,27,28
27361,La Lande-Saint-Léger,577,Beuzeville,20,27,28
27363,Le Landin,15,Rouen,20,27,28
27364,Launay,230,Bernay,20,27,28
27365,Léry,144,Louviers,20,27,28
27366,Letteguives,15,Rouen,20,27,28
27367,Lieurey,0,Commune hors attraction des villes,30,27,28
27368,Lignerolles,0,Commune hors attraction des villes,30,27,28
27369,Lilly,1,Paris,20,27,28
27370,Lisors,1,Paris,20,27,28
27371,Livet-sur-Authou,0,Commune hors attraction des villes,30,27,28
27372,Longchamps,1,Paris,20,27,28
27373,Lorleau,0,Commune hors attraction des villes,30,27,28
27374,Louversey,83,Évreux,20,27,28
27375,Louviers,144,Louviers,11,27,28
27376,Louye,1,Paris,20,27,28
27377,Lyons-la-Forêt,0,Commune hors attraction des villes,30,27,28
27378,La Madeleine-de-Nonancourt,0,Commune hors attraction des villes,30,27,28
27379,Mainneville,1,Paris,20,27,28
27380,Malleville-sur-le-Bec,0,Commune hors attraction des villes,30,27,28
27381,Malouy,230,Bernay,20,27,28
27382,Mandeville,144,Louviers,20,27,28
27383,Mandres,346,Verneuil d'Avre et d'Iton,20,27,28
27384,Manneville-la-Raoult,352,Honfleur,20,27,28
27385,Manneville-sur-Risle,237,Pont-Audemer,20,27,28
27386,Le Manoir,15,Rouen,20,27,28
27388,Marais-Vernier,39,Le Havre,20,27,28
27389,Marbeuf,144,Louviers,20,27,28
27390,Marcilly-la-Campagne,0,Commune hors attraction des villes,30,27,28
27391,Marcilly-sur-Eure,1,Paris,20,27,28
27392,Martagny,1,Paris,20,27,28
27393,Martainville,577,Beuzeville,20,27,28
27394,Martot,15,Rouen,20,27,28
27395,Mélicourt,0,Commune hors attraction des villes,30,27,28
27396,Ménesqueville,0,Commune hors attraction des villes,30,27,28
27397,Ménilles,1,Paris,20,27,28
27398,Menneval,230,Bernay,12,27,28
27399,Mercey,1,Paris,20,27,28
27400,Merey,1,Paris,20,27,28
27401,Le Mesnil-Fuguet,83,Évreux,20,27,28
27403,Le Mesnil-Jourdain,144,Louviers,20,27,28
27404,Mesnil-Rousset,0,Commune hors attraction des villes,30,27,28
27405,Mesnil-sous-Vienne,1,Paris,20,27,28
27406,Mesnil-sur-l'Estrée,1,Paris,20,27,28
27407,Mesnil-Verclives,1,Paris,20,27,28
27408,Mézières-en-Vexin,1,Paris,20,27,28
27410,Miserey,83,Évreux,20,27,28
27411,Moisville,83,Évreux,20,27,28
27412,Terres de Bord,144,Louviers,20,27,28
27413,Montfort-sur-Risle,0,Commune hors attraction des villes,30,27,28
27414,Montreuil-l'Argillé,0,Commune hors attraction des villes,30,27,28
27415,Morainville-Jouveaux,0,Commune hors attraction des villes,30,27,28
27417,Morgny,1,Paris,20,27,28
27418,Morsan,0,Commune hors attraction des villes,30,27,28
27419,Mouettes,1,Paris,20,27,28
27420,Mouflaines,1,Paris,20,27,28
27421,Mousseaux-Neuville,1,Paris,20,27,28
27422,Muids,144,Louviers,20,27,28
27423,Muzy,1,Paris,20,27,28
27424,Nagel-Séez-Mesnil,83,Évreux,20,27,28
27425,Nassandres sur Risle,0,Commune hors attraction des villes,30,27,28
27426,Neaufles-Saint-Martin,1,Paris,20,27,28
27427,Neaufles-Auvergny,0,Commune hors attraction des villes,30,27,28
27428,Le Neubourg,489,Le Neubourg,11,27,28
27429,Neuilly,1,Paris,20,27,28
27430,La Neuve-Grange,1,Paris,20,27,28
27431,La Neuve-Lyre,0,Commune hors attraction des villes,30,27,28
27432,La Neuville-du-Bosc,0,Commune hors attraction des villes,30,27,28
27433,Neuville-sur-Authou,0,Commune hors attraction des villes,30,27,28
27434,Noards,0,Commune hors attraction des villes,30,27,28
27435,La Noë-Poulain,237,Pont-Audemer,20,27,28
27436,Nogent-le-Sec,83,Évreux,20,27,28
27437,Nojeon-en-Vexin,1,Paris,20,27,28
27438,Nonancourt,581,Nonancourt - Saint-Lubin-des-Joncherets,12,27,28
27439,Normanville,83,Évreux,20,27,28
27440,Notre-Dame-de-l'Isle,1,Paris,20,27,28
27441,Notre-Dame-d'Épine,0,Commune hors attraction des villes,30,27,28
27442,Notre-Dame-du-Hamel,0,Commune hors attraction des villes,30,27,28
27444,Le Noyer-en-Ouche,0,Commune hors attraction des villes,30,27,28
27445,Noyers,1,Paris,20,27,28
27446,Ormes,83,Évreux,20,27,28
27447,Le Val-Doré,83,Évreux,20,27,28
27448,Pacy-sur-Eure,1,Paris,20,27,28
27451,Parville,83,Évreux,20,27,28
27453,Perriers-sur-Andelle,15,Rouen,20,27,28
27454,Perruel,15,Rouen,20,27,28
27455,Piencourt,0,Commune hors attraction des villes,30,27,28
27456,Pinterville,144,Louviers,20,27,28
27457,Piseux,346,Verneuil d'Avre et d'Iton,20,27,28
27458,Pîtres,15,Rouen,20,27,28
27459,Les Places,0,Commune hors attraction des villes,30,27,28
27460,Plainville,230,Bernay,20,27,28
27462,Le Planquay,162,Lisieux,20,27,28
27463,Plasnes,230,Bernay,20,27,28
27464,Le Plessis-Grohan,83,Évreux,20,27,28
27465,Le Plessis-Hébert,1,Paris,20,27,28
27466,Le Plessis-Sainte-Opportune,83,Évreux,20,27,28
27467,Pont-Audemer,237,Pont-Audemer,11,27,28
27468,Pont-Authou,0,Commune hors attraction des villes,30,27,28
27469,Pont-de-l'Arche,15,Rouen,20,27,28
27470,Pont-Saint-Pierre,15,Rouen,20,27,28
27471,Porte-de-Seine,144,Louviers,20,27,28
27472,Portes,83,Évreux,20,27,28
27473,Port-Mort,1,Paris,20,27,28
27474,Poses,144,Louviers,20,27,28
27475,La Poterie-Mathieu,237,Pont-Audemer,20,27,28
27476,Les Préaux,237,Pont-Audemer,20,27,28
27477,Pressagny-l'Orgueilleux,1,Paris,20,27,28
27478,Prey,83,Évreux,20,27,28
27480,Puchay,1,Paris,20,27,28
27481,Pullay,346,Verneuil d'Avre et d'Iton,20,27,28
27482,La Pyle,489,Le Neubourg,20,27,28
27483,Quatremare,144,Louviers,20,27,28
27485,Quillebeuf-sur-Seine,39,Le Havre,20,27,28
27486,Quittebeuf,83,Évreux,20,27,28
27487,Radepont,15,Rouen,20,27,28
27488,Renneville,15,Rouen,20,27,28
27489,Reuilly,83,Évreux,20,27,28
27490,Richeville,1,Paris,20,27,28
27492,Romilly-la-Puthenaye,83,Évreux,20,27,28
27493,Romilly-sur-Andelle,15,Rouen,20,27,28
27495,La Roquette,480,Les Andelys,20,27,28
27496,Rosay-sur-Lieure,0,Commune hors attraction des villes,30,27,28
27497,Rougemontiers,15,Rouen,20,27,28
27498,Rouge-Perriers,489,Le Neubourg,20,27,28
27500,Routot,15,Rouen,20,27,28
27501,Rouvray,0,Commune hors attraction des villes,30,27,28
27502,Rugles,262,L'Aigle,20,27,28
27504,Sacquenville,83,Évreux,20,27,28
27505,Saint-Agnan-de-Cernières,0,Commune hors attraction des villes,30,27,28
27507,Saint-André-de-l'Eure,83,Évreux,20,27,28
27508,Saint-Antonin-de-Sommaire,262,L'Aigle,20,27,28
27511,Saint-Aubin-d'Écrosville,83,Évreux,20,27,28
27512,Saint-Aubin-de-Scellon,0,Commune hors attraction des villes,30,27,28
27514,Saint-Aubin-du-Thenney,230,Bernay,20,27,28
27516,Treis-Sants-en-Ouche,230,Bernay,20,27,28
27517,Saint-Aubin-sur-Gaillon,0,Commune hors attraction des villes,30,27,28
27518,Saint-Aubin-sur-Quillebeuf,39,Le Havre,20,27,28
27520,Saint-Benoît-des-Ombres,0,Commune hors attraction des villes,30,27,28
27521,Saint-Christophe-sur-Avre,346,Verneuil d'Avre et d'Iton,20,27,28
27522,Saint-Christophe-sur-Condé,237,Pont-Audemer,20,27,28
27524,Sainte-Colombe-la-Commanderie,83,Évreux,20,27,28
27525,Sainte-Colombe-près-Vernon,1,Paris,20,27,28
27527,Saint-Cyr-de-Salerne,0,Commune hors attraction des villes,30,27,28
27528,Le Vaudreuil,144,Louviers,12,27,28
27529,Saint-Cyr-la-Campagne,15,Rouen,20,27,28
27530,Saint-Denis-d'Augerons,0,Commune hors attraction des villes,30,27,28
27531,Saint-Denis-des-Monts,15,Rouen,20,27,28
27533,Saint-Denis-le-Ferment,1,Paris,20,27,28
27534,Saint-Didier-des-Bois,144,Louviers,20,27,28
27535,Saint-Élier,83,Évreux,20,27,28
27536,Saint-Éloi-de-Fourques,0,Commune hors attraction des villes,30,27,28
27537,Saint-Étienne-du-Vauvray,144,Louviers,20,27,28
27538,Saint-Étienne-l'Allier,237,Pont-Audemer,20,27,28
27539,Saint-Étienne-sous-Bailleul,1,Paris,20,27,28
27540,Sainte-Geneviève-lès-Gasny,1,Paris,20,27,28
27541,Le Mesnil-Saint-Jean,0,Commune hors attraction des villes,30,27,28
27542,Saint-Georges-du-Vièvre,237,Pont-Audemer,20,27,28
27543,Saint-Georges-Motel,1,Paris,20,27,28
27544,Saint-Germain-de-Fresney,83,Évreux,20,27,28
27545,Saint-Germain-de-Pasquier,15,Rouen,20,27,28
27546,Saint-Germain-des-Angles,83,Évreux,20,27,28
27547,Saint-Germain-la-Campagne,0,Commune hors attraction des villes,30,27,28
27548,Saint-Germain-sur-Avre,1,Paris,20,27,28
27550,Saint-Grégoire-du-Vièvre,0,Commune hors attraction des villes,30,27,28
27552,Saint-Jean-du-Thenney,0,Commune hors attraction des villes,30,27,28
27553,Saint-Julien-de-la-Liègue,0,Commune hors attraction des villes,30,27,28
27554,La Chapelle-Longueville,1,Paris,20,27,28
27555,Saint-Laurent-des-Bois,1,Paris,20,27,28
27556,Saint-Laurent-du-Tencement,0,Commune hors attraction des villes,30,27,28
27557,Saint-Léger-de-Rôtes,230,Bernay,20,27,28
27558,Saint-Léger-du-Gennetey,15,Rouen,20,27,28
27560,Saint-Luc,83,Évreux,20,27,28
27561,Saint-Maclou,39,Le Havre,20,27,28
27562,Saint-Marcel,1,Paris,20,27,28
27563,Saint-Mards-de-Blacarville,237,Pont-Audemer,20,27,28
27564,Saint-Mards-de-Fresne,230,Bernay,20,27,28
27565,Le Lesme,83,Évreux,20,27,28
27567,Sainte-Marie-de-Vatimesnil,1,Paris,20,27,28
27568,Sainte-Marthe,83,Évreux,20,27,28
27569,Saint-Martin-du-Tilleul,230,Bernay,20,27,28
27570,Saint-Martin-la-Campagne,83,Évreux,20,27,28
27571,Saint-Martin-Saint-Firmin,237,Pont-Audemer,20,27,28
27572,Saint-Meslin-du-Bosc,15,Rouen,20,27,28
27576,Sainte-Opportune-du-Bosc,489,Le Neubourg,20,27,28
27577,Sainte-Opportune-la-Mare,237,Pont-Audemer,20,27,28
27578,Sainte-Marie-d'Attez,346,Verneuil d'Avre et d'Iton,20,27,28
27579,Saint-Ouen-de-Pontcheuil,15,Rouen,20,27,28
27580,Saint-Ouen-de-Thouberville,15,Rouen,20,27,28
27582,Saint-Ouen-du-Tilleul,15,Rouen,20,27,28
27584,Saint-Paul-de-Fourques,0,Commune hors attraction des villes,30,27,28
27586,Saint-Philbert-sur-Boissey,15,Rouen,20,27,28
27587,Saint-Philbert-sur-Risle,237,Pont-Audemer,20,27,28
27589,Saint-Pierre-de-Bailleul,1,Paris,20,27,28
27590,Saint-Pierre-de-Cernières,0,Commune hors attraction des villes,30,27,28
27591,Saint-Pierre-de-Cormeilles,0,Commune hors attraction des villes,30,27,28
27592,Saint-Pierre-de-Salerne,0,Commune hors attraction des villes,30,27,28
27593,Saint-Pierre-des-Fleurs,15,Rouen,20,27,28
27594,Saint-Pierre-des-Ifs,237,Pont-Audemer,20,27,28
27595,Saint-Pierre-du-Bosguérard,15,Rouen,20,27,28
27597,Saint-Pierre-du-Val,39,Le Havre,20,27,28
27598,Saint-Pierre-du-Vauvray,144,Louviers,20,27,28
27599,Saint-Pierre-la-Garenne,1,Paris,20,27,28
27601,Saint-Samson-de-la-Roque,39,Le Havre,20,27,28
27602,Saint-Sébastien-de-Morsent,83,Évreux,20,27,28
27603,Saint-Siméon,237,Pont-Audemer,20,27,28
27604,Saint-Sulpice-de-Grimbouville,237,Pont-Audemer,20,27,28
27605,Saint-Sylvestre-de-Cormeilles,0,Commune hors attraction des villes,30,27,28
27606,Saint-Symphorien,237,Pont-Audemer,20,27,28
27608,Saint-Victor-de-Chrétienville,230,Bernay,20,27,28
27609,Saint-Victor-d'Épine,0,Commune hors attraction des villes,30,27,28
27610,Saint-Victor-sur-Avre,346,Verneuil d'Avre et d'Iton,20,27,28
27611,Saint-Vigor,83,Évreux,20,27,28
27612,Saint-Vincent-des-Bois,1,Paris,20,27,28
27613,Saint-Vincent-du-Boulay,230,Bernay,20,27,28
27614,Sancourt,1,Paris,20,27,28
27615,Sassey,83,Évreux,20,27,28
27616,La Saussaye,15,Rouen,20,27,28
27617,Saussay-la-Campagne,1,Paris,20,27,28
27618,Sébécourt,83,Évreux,20,27,28
27620,Selles,237,Pont-Audemer,20,27,28
27621,Serez,1,Paris,20,27,28
27622,Serquigny,230,Bernay,20,27,28
27623,Surtauville,144,Louviers,20,27,28
27624,Surville,144,Louviers,20,27,28
27625,Suzay,1,Paris,20,27,28
27627,Le Theil-Nolent,230,Bernay,20,27,28
27629,Thiberville,230,Bernay,20,27,28
27630,Thibouville,489,Le Neubourg,20,27,28
27631,Thierville,15,Rouen,20,27,28
27632,Le Thil,1,Paris,20,27,28
27633,Les Thilliers-en-Vexin,1,Paris,20,27,28
27635,Le Thuit,480,Les Andelys,20,27,28
27638,Le Thuit de l'Oison,15,Rouen,20,27,28
27640,Tilleul-Dame-Agnès,83,Évreux,20,27,28
27641,Le Tilleul-Lambert,83,Évreux,20,27,28
27643,Tillières-sur-Avre,0,Commune hors attraction des villes,30,27,28
27644,Tilly,1,Paris,20,27,28
27645,Tocqueville,237,Pont-Audemer,20,27,28
