Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2025;COM;commune;02549;02549
2025;COM;commune;59605;59605
2025;COM;commune;81213;81213
2025;COM;commune;67379;67379
2025;COM;commune;14670;14543
2025;COM;commune;17041;17041
2025;COM;commune;89105;89105
2025;COM;commune;42208;42208
2025;COM;commune;18062;18062
2025;COM;commune;01265;01265
2025;COM;commune;21289;21289
2025;COM;commune;35070;35070
2025;COM;commune;63191;63191
2025;COM;commune;40151;40151
2025;COM;commune;60678;60678
2025;COM;commune;56167;56167
2025;COM;commune;22378;22378
2025;COM;commune;70516;70516
2025;COM;commune;41285;41285
2025;COM;commune;19211;19211
2025;COM;commune;59515;59515
2025;COM;commune;12292;12292
2025;COM;commune;10212;10212
2025;COM;commune;44030;44030
2025;COM;commune;67071;67071
2025;COM;commune;81090;81090
2025;COM;commune;02781;02781
2025;COM;commune;70462;70462
2025;COM;commune;82109;82109
2025;COM;commune;38444;38444
2025;COM;commune;01279;01279
2025;COM;commune;34236;34236
2025;COM;commune;08469;08469
2025;COM;commune;10105;10105
2025;COM;commune;08331;08331
2025;COM;commune;28375;28375
2025;COM;commune;2B281;2B281
2025;COM;commune;21028;21028
2025;COM;commune;80714;80714
2025;COM;commune;11101;11101
2025;COM;commune;74315;74315
2025;COM;commune;93062;93062
2025;COM;commune;78624;78624
2025;COM;commune;06026;06026
2025;COM;commune;45311;45311
2025;COM;commune;76348;76348
2025;COM;commune;08381;08381
2025;COM;commune;48119;48119
2025;COM;commune;76613;76613
2025;COM;commune;22141;22141
2025;COM;commune;54079;54079
2025;COM;commune;73289;73289
2025;COM;commune;21494;21494
2025;COM;commune;85306;85306
2025;COM;commune;46023;46023
2025;COM;commune;43254;43254
2025;COM;commune;33346;33346
2025;COM;commune;60432;60432
2025;COM;commune;32380;32380
2025;COM;commune;23147;23147
2025;COM;commune;31512;31512
2025;COM;commune;30201;30201
2025;COM;commune;64062;64062
2025;COM;commune;33384;33384
2025;COM;commune;31208;31208
2025;COM;commune;14172;14172
2025;COM;commune;29062;29062
2025;COM;commune;27641;27641
2025;COM;commune;28257;28257
2025;COM;commune;55043;55043
2025;COM;commune;55247;55247
2025;COM;commune;31315;31315
2025;COM;commune;60129;60129
2025;COM;commune;16135;16135
2025;COM;commune;16343;16343
2025;COM;commune;25624;25624
2025;COM;commune;04023;04023
2025;COM;commune;16128;16128
2025;COM;commune;88204;88465
2025;COM;commune;77387;77387
2025;COM;commune;67220;67220
2025;COM;commune;27139;27139
2025;COM;commune;06130;06130
2025;COM;commune;10002;10002
2025;COM;commune;60565;60565
2025;COM;commune;76422;76422
2025;COM;commune;48100;48100
2025;COM;commune;04163;04163
2025;COM;commune;43262;43262
2025;COM;commune;17367;17367
2025;COM;commune;58102;58102
2025;COM;commune;08074;08074
2025;COM;commune;64057;64057
2025;COM;commune;02381;02381
2025;COM;commune;19116;19116
2025;COM;commune;63190;63190
2025;COM;commune;55575;55575
2025;COM;commune;31077;31077
2025;COM;commune;35009;35009
2025;COM;commune;41198;41198
2025;COM;commune;09200;09200
2025;COM;commune;65063;65063
2025;COM;commune;76072;76072
2025;COM;commune;71496;71496
2025;COM;commune;57719;57719
2025;COM;commune;55315;55315
2025;COM;commune;79333;79013
2025;COM;commune;69122;69122
2025;COM;commune;85131;85131
2025;COM;commune;28359;28359
2025;COM;commune;49360;49126
2025;COM;commune;08230;08230
2025;COM;commune;68062;68062
2025;COM;commune;37137;37137
2025;COM;commune;03237;03237
2025;COM;commune;50505;50505
2025;COM;commune;12230;12230
2025;COM;commune;63469;63469
2025;COM;commune;37033;37033
2025;COM;commune;29114;29114
