codgeo,YEAR,Demandeurs_Emploi
44180,janvier_2020,590
44103,janvier_2020,710
44210,janvier_2020,900
44021,janvier_2020,430
44184,janvier_2020,8480
44101,janvier_2020,520
44128,janvier_2020,480
44166,janvier_2020,500
44120,janvier_2020,490
44186,janvier_2020,510
44114,janvier_2020,2150
44182,janvier_2020,510
44098,janvier_2020,440
44162,janvier_2020,5270
44073,janvier_2020,450
44018,janvier_2020,610
44198,janvier_2020,650
44179,janvier_2020,300
44082,janvier_2020,400
44130,janvier_2020,420
44194,janvier_2020,550
44172,janvier_2020,1290
45234,janvier_2020,14610
45082,janvier_2020,690
45068,janvier_2020,2030
45203,janvier_2020,560
45285,janvier_2020,1940
45169,janvier_2020,880
45232,janvier_2020,1550
45224,janvier_2020,370
45028,janvier_2020,820
45004,janvier_2020,1210
45208,janvier_2020,2470
45146,janvier_2020,570
45053,janvier_2020,500
45252,janvier_2020,1290
45191,janvier_2020,770
45075,janvier_2020,930
45147,janvier_2020,2580
45089,janvier_2020,590
45155,janvier_2020,1790
45274,janvier_2020,460
45315,janvier_2020,600
45286,janvier_2020,870
45338,janvier_2020,610
45298,janvier_2020,530
45302,janvier_2020,1570
45284,janvier_2020,2300
46042,janvier_2020,2650
46102,janvier_2020,920
47001,janvier_2020,4640
47252,janvier_2020,790
47157,janvier_2020,1940
47032,janvier_2020,530
47323,janvier_2020,2860
47310,janvier_2020,1100
47106,janvier_2020,540
47100,janvier_2020,420
47201,janvier_2020,970
47031,janvier_2020,520
47195,janvier_2020,780
48095,janvier_2020,910
49007,janvier_2020,21520
49020,janvier_2020,400
49035,janvier_2020,470
49218,janvier_2020,1230
49218,janvier_2020,1230
49092,janvier_2020,1630
49092,janvier_2020,1630
49267,janvier_2020,1010
49246,janvier_2020,1310
49223,janvier_2020,520
49377,janvier_2020,450
49018,janvier_2020,1070
49018,janvier_2020,1070
49180,janvier_2020,760
49180,janvier_2020,760
49200,janvier_2020,480
49367,janvier_2020,460
49176,janvier_2020,410
49015,janvier_2020,1300
49307,janvier_2020,1280
49021,janvier_2020,710
49194,janvier_2020,480
49069,janvier_2020,1300
49063,janvier_2020,570
49099,janvier_2020,5590
49373,janvier_2020,650
49050,janvier_2020,910
49080,janvier_2020,770
49261,janvier_2020,870
49261,janvier_2020,870
49183,janvier_2020,370
49345,janvier_2020,490
49328,janvier_2020,3600
49248,janvier_2020,950
49301,janvier_2020,1880
49214,janvier_2020,690
49323,janvier_2020,710
49228,janvier_2020,590
49228,janvier_2020,590
49331,janvier_2020,1570
49023,janvier_2020,1820
49244,janvier_2020,1450
49125,janvier_2020,1140
49353,janvier_2020,1940
50502,janvier_2020,2000
50129,janvier_2020,6970
50147,janvier_2020,900
50082,janvier_2020,400
50082,janvier_2020,400
50025,janvier_2020,1020
50218,janvier_2020,1240
50041,janvier_2020,740
50099,janvier_2020,840
50484,janvier_2020,420
50615,janvier_2020,490
51108,janvier_2020,5120
51454,janvier_2020,21610
51535,janvier_2020,520
51030,janvier_2020,440
51030,janvier_2020,440
51250,janvier_2020,580
51230,janvier_2020,2870
51649,janvier_2020,1520
51172,janvier_2020,360
51388,janvier_2020,320
51662,janvier_2020,350
51573,janvier_2020,800
51055,janvier_2020,490
51506,janvier_2020,600
52121,janvier_2020,2140
52448,janvier_2020,2900
52269,janvier_2020,870
53130,janvier_2020,5650
53147,janvier_2020,1110
53062,janvier_2020,1380
53096,janvier_2020,360
53097,janvier_2020,620
53054,janvier_2020,370
53201,janvier_2020,540
53034,janvier_2020,350
54395,janvier_2020,10720
54159,janvier_2020,740
54482,janvier_2020,1040
54274,janvier_2020,1040
54099,janvier_2020,740
54257,janvier_2020,330
54580,janvier_2020,840
54528,janvier_2020,1810
54483,janvier_2020,670
54339,janvier_2020,810
54397,janvier_2020,620
54280,janvier_2020,780
54115,janvier_2020,640
54322,janvier_2020,460
54184,janvier_2020,830
54498,janvier_2020,340
54329,janvier_2020,2240
54263,janvier_2020,690
54357,janvier_2020,1190
54382,janvier_2020,940
54215,janvier_2020,650
54323,janvier_2020,1630
54300,janvier_2020,570
54439,janvier_2020,400
54318,janvier_2020,420
54547,janvier_2020,2920
54395,janvier_2020,2920
54526,janvier_2020,900
54304,janvier_2020,1420
